ParentID,ChildID,Name
0,1,Analysis & Visulization
1,2,Analysis & Visulization
2,3,Power BI
2,4,Tableau
2,5,SAS Visula
0,6,Cloud AI/ML
6,7,Cloud based env with AI/ML libraires
7,8,Azure Cognitive Services
7,9,GCP AutomML /Vertex AI
6,10,Oracle AI Cloud
0,11,Computer Vision Library
11,12,Computer Vision Library
12,13,OpenCV
0,14,Deep Learning
14,15,CNN - Deep Learning
15,16,Convolutional NN
14,17,LSTM - Deep Learing
17,18,LSTM
14,19,Modeling Tool
19,20,Matlab Deep Learning Package
14,21,RNN - Deep Learning
21,22,Recurrent NN
0,23,DL with GPU
23,24,AI/ML libraries
24,25,Caffe
24,26,Chainer
24,27,MatConvNet
24,28,MXNet
24,29,PaddlePaddle
24,30,PyTorch
24,31,Tensorflow
24,32,Theano
24,33,Nvidia Rapids
0,34,DL Wrapper Libraries
34,35,"AI/ML libraries, which can work seamless with Theano & TensroFlow"
35,36,Keras
34,37,Modeling tool
37,38,Knime Analytics Platform
34,39,Lasagne
34,40,TensorLayer
34,41,TFLearn
0,42,General Purpose
42,19,Modeling Tool
19,43,Matlab basic
42,44,Language
44,45,Python Language
42,46,RapidMinder
42,24,AI/ML libraries
24,47,Scikit-Learn
42,48,Shogun
42,49,Data Mining tool
49,50,Weka
0,51,Graph DB
51,52,Graph database for recommendation system and fraud detection
52,53,Neo4j
0,54,Interactive platforms
54,55,Grafana
54,56,Web-based interactive dev env.
56,57,Jupyter Notebook
54,58,Kibana
54,59,Orange
54,60,Zeppelin
0,61,MD/DL with MapReduce
61,19,Modeling Tool
19,62,H2O.ai/ Deep Water
0,63,ML/DL with MapReduce
63,64,FlinkML
63,65,Oryx2 ML
63,66,AI/ML libraries. Available in many language
66,67,Spark MLLib (Scala)
0,68,Modeling
68,19,Modeling Tool
19,69,Alteryx
19,70,Mathwork Simulink
0,71,Natural Language Processing (NLP) 
71,72,Makes the process of identifying the underlying topic of a piece of text (known as topic modeling) substantially easier.
72,73,Gensim
71,74,Natural Language Processing (NLP) libraries
74,75,NLTK
74,76,OpenAI GPT -3
74,77,SpaCy
0,78,General Neural Network
78,79,One hidden layer
79,80,Feed Forward Networks
78,81,Mutiple Layers
81,82,Muti-Layer Perceptron
78,83,Simple NN
83,84,Perceltron
81,85,Radial Based Networks
0,86,OCR
86,87,OCR
87,88,Tesseract
